Time,Longitude,Latitude,Altitude
2024-06-01 00:00:00,23.465434285165948,90.0,-6354725.110018427
2024-06-01 00:01:00,26.19759039858661,90.0,-6354395.744970849
2024-06-01 00:02:00,29.03722008620408,90.0,-6354077.518458667
2024-06-01 00:03:00,32.004427996558945,90.0,-6353771.933283882
2024-06-01 00:04:00,35.12092716413508,90.0,-6353480.4319142215
2024-06-01 00:05:00,38.41007134220907,90.0,-6353204.389659952
2024-06-01 00:06:00,41.8967258875866,90.0,-6352945.1082042465
2024-06-01 00:07:00,45.60688545256881,90.0,-6352703.809514063
2024-06-01 00:08:00,49.56691494520278,90.0,-6352481.630158535
2024-06-01 00:09:00,53.802261584466066,90.0,-6352279.616056347
2024-06-01 00:10:00,58.335476385651525,90.0,-6352098.71767139
2024-06-01 00:11:00,63.18342200084507,90.0,-6351939.785673163
2024-06-01 00:12:00,68.35367188393265,90.0,-6351803.567074411
2024-06-01 00:13:00,73.84036350327402,90.0,-6351690.701857609
2024-06-01 00:14:00,79.62015837877163,90.0,-6351601.720098371
2024-06-01 00:15:00,85.64938991767661,90.0,-6351537.039592685
2024-06-01 00:16:00,91.86371542791996,90.0,-6351496.963992834
2024-06-01 00:17:00,98.181325727525,90.0,-6351481.681455659
2024-06-01 00:18:00,104.50984743012819,90.0,-6351491.263805671
2024-06-01 00:19:00,110.75575644390142,90.0,-6351525.666214387
2024-06-01 00:20:00,116.83407704829291,90.0,-6351584.727396571
2024-06-01 00:21:00,122.67601570315237,90.0,-6351668.170322923
2024-06-01 00:22:00,128.2330549895522,90.0,-6351775.603448467
2024-06-01 00:23:00,133.477355087203,90.0,-6351906.522453843
2024-06-01 00:24:00,138.399361471817,90.0,-6352060.312497167
2024-06-01 00:25:00,143.0039289970296,90.0,-6352236.2509711655
2024-06-01 00:26:00,147.30612569419978,90.0,-6352433.510759558
2024-06-01 00:27:00,151.32747051485717,90.0,-6352651.163985181
2024-06-01 00:28:00,155.09294730781397,90.0,-6352888.186238901
2024-06-01 00:29:00,158.62884682763973,90.0,-6353143.461277178
2024-06-01 00:30:00,161.96133361882428,90.0,-6353415.786172647
2024-06-01 00:31:00,165.11557940974998,90.0,-6353703.87689973
2024-06-01 00:32:00,168.11530611421028,90.0,-6354006.374332823
2024-06-01 00:33:00,170.98260764595062,90.0,-6354321.850633735
2024-06-01 00:34:00,173.73795165004006,90.0,-6354648.815998786
2024-06-01 00:35:00,176.4002912499233,90.0,-6354985.725735088
2024-06-01 00:36:00,178.98723991503283,90.0,-6355330.987630957
2024-06-01 00:37:00,-178.48472048263238,90.0,-6355682.969583568
2024-06-01 00:38:00,-176.000016503346,90.0,-6356040.00744209
2024-06-01 00:39:00,-173.5437549236994,90.0,-6356400.4130256865
2024-06-01 00:40:00,-171.101494348915,-90.0,-6356742.14621991
2024-06-01 00:41:00,-168.65901827695438,-90.0,-6356380.125030763
2024-06-01 00:42:00,-166.2021093755431,-90.0,-6356019.862999566
2024-06-01 00:43:00,-163.71632390905663,-90.0,-6355663.062357865
2024-06-01 00:44:00,-161.18676526032417,-90.0,-6355311.408267191
2024-06-01 00:45:00,-158.597856382277,-90.0,-6354966.560724006
2024-06-01 00:46:00,-155.93311290544207,-90.0,-6354630.146612304
2024-06-01 00:47:00,-153.17492195118277,-90.0,-6354303.7519489685
2024-06-01 00:48:00,-150.3043369377734,-90.0,-6353988.914360495
2024-06-01 00:49:00,-147.3009067631829,-90.0,-6353687.115830917
2024-06-01 00:50:00,-144.14256966301383,-90.0,-6353399.77575542
